,synchronous,precedence,succession,reason,result,arg1-as-cond,arg2-as-cond,arg1-as-negcond,arg2-as-negcond,arg1-as-goal,arg2-as-goal,arg1-as-denier,arg2-as-denier,contrast,similarity,conjunction,disjunction,arg1-as-instance,arg2-as-instance,arg1-as-detail,arg2-as-detail,equivalence,arg1-as-manner,arg2-as-manner,arg1-as-excpt,arg2-as-excpt,arg2-as-subst,arg1-as-subst
synchronous,8.257958814256208e-09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
precedence,,2.4753023091245817e-41,1.0,0.6378194830437244,0.3958136578333076,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05815933569038009,1.0,1.0,1.0,1.0,0.1534268431098641,1.0,1.0,1.0,1.0,1.0,1.0,1.0
succession,,,0.0011111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
reason,,,,3.461041611739353e-95,0.01121144285669283,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chi2,1.0,1.0,1.0,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
result,,,,,chi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,chi2,1.0,1.0,1.0,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-cond,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-cond,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-negcond,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-negcond,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-goal,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-goal,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-denier,,,,,,,,,,,,0.0011111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-denier,,,,,,,,,,,,,0.0011111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
contrast,,,,,,,,,,,,,,1.3524840416123083e-25,1.0,0.3848998760380431,1.0,1.0,1.0,1.0,0.6217816054373344,1.0,1.0,1.0,1.0,1.0,1.0,1.0
similarity,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
conjunction,,,,,,,,,,,,,,,,chi2,1.0,1.0,0.3736830976700213,1.0,chi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
disjunction,,,,,,,,,,,,,,,,,0.0011111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-instance,,,,,,,,,,,,,,,,,,0.0011111111111111111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-instance,,,,,,,,,,,,,,,,,,,1.0942825427590497e-23,1.0,0.6131313973557381,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-detail,,,,,,,,,,,,,,,,,,,,2.471882338400692e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-detail,,,,,,,,,,,,,,,,,,,,,chi2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
equivalence,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arg1-as-manner,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
arg2-as-manner,,,,,,,,,,,,,,,,,,,,,,,,0.0011111111111111111,1.0,1.0,1.0,1.0
arg1-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0
arg2-as-excpt,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
arg2-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
arg1-as-subst,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
